PrixOrigine,Marque,Categorie,FlagElectrique,EtatVeloLabel,Depreciation%,DepreciationEUR,Anciennete
4400.0,Lapierre,Cross-country,0,Très Bon État,-0.4772727272727273,-2100.0,1.3041095890410959
3599.0,Orbea,Cross-country,0,Très Bon État,-0.16671297582661848,-600.0,0.3041095890410959
4700.0,Scott,Cross-country,0,Bon État,-0.19148936170212771,-900.0,0.3041095890410959
6299.0,Scott,Cross-country,0,Bon État,-0.7459914272106684,-4699.0,6.306849315068493
2699.0,Scott,Trail / Enduro,0,Bon État,-0.2960355687291589,-799.0,3.3068493150684932
3399.0,Canyon,Trail / Enduro,0,Très Bon État,-0.05854663136216531,-199.0,0.3041095890410959
5350.0,Scott,Cross-country,0,Très Bon État,-0.4953271028037384,-2650.0,1.3041095890410959
6200.0,Lapierre,Cross-country,0,Bon État,-0.517741935483871,-3210.0,2.304109589041096
9000.0,Scott,Trail / Enduro,0,Bon État,-0.47777777777777775,-4300.0,2.304109589041096
8999.0,Orbea,Cross-country,0,Bon État,-0.34992776975219464,-3149.0,0.3041095890410959
4300.0,Giant,Cross-country,0,Bon État,-0.3023255813953488,-1300.0,1.3041095890410959
999.0,Lapierre,Cross-country,0,Usé,-0.2492492492492493,-249.0,2.304109589041096
2700.0,Trek,Cross-country,0,Bon État,-0.18518518518518523,-500.0,1.3041095890410959
6299.0,Scott,Cross-country,0,Usé,-0.4681695507223369,-2949.0,4.306849315068493
8000.0,Scott,Cross-country,0,Très Bon État,-0.4,-3200.0,0.3041095890410959
999.0,Scott,Cross-country,0,Bon État,-0.09909909909909909,-99.0,3.3068493150684932
1699.0,Scott,Cross-country,0,Usé,-0.4114184814596822,-699.0,1.3041095890410959
2799.0,Orbea,Cross-country,0,Bon État,-0.28545909253304746,-799.0,0.3041095890410959
4499.0,Trek,Cross-country,0,Bon État,-0.622138252945099,-2799.0,4.306849315068493
3599.0,Orbea,Cross-country,0,Bon État,-0.16643512086690748,-599.0,0.3041095890410959
1449.0,BMC,Loisir,0,Bon État,-0.4824016563146998,-699.0,5.306849315068493
3500.0,Cannondale,Cross-country,0,Usé,-0.37142857142857144,-1300.0,2.304109589041096
429.0,Scott,Cross-country,0,Bon État,-0.4172494172494172,-179.0,0.3041095890410959
4899.0,Cannondale,Cross-country,0,Bon État,-0.2039191671769749,-999.0,0.3041095890410959
2300.0,Canyon,Cross-country,0,Bon État,-0.30434782608695654,-700.0,1.3041095890410959
5600.0,Scott,Cross-country,0,Bon État,-0.1964285714285714,-1100.0,1.3041095890410959
3799.0,Scott,Trail / Enduro,0,Bon État,-0.47354566991313507,-1799.0,4.306849315068493
2699.0,Cannondale,Cross-country,0,Comme Neuf,-0.18525379770285288,-500.0,0.3041095890410959
5499.0,BMC,Cross-country,0,Comme Neuf,-0.1998545190034552,-1099.0,0.3041095890410959
3499.0,Cannondale,Cross-country,0,Comme Neuf,-0.1714775650185767,-600.0,0.3041095890410959
4699.0,Cannondale,Cross-country,0,Comme Neuf,-0.19153011278995535,-900.0,0.3041095890410959
8499.0,BMC,Cross-country,0,Comme Neuf,-0.19990587127897397,-1699.0,0.3041095890410959
6999.0,Cannondale,Cross-country,0,Comme Neuf,-0.14287755393627666,-1000.0,0.3041095890410959
3499.0,Cannondale,Cross-country,0,Très Bon État,-0.0854529865675907,-299.0,0.3041095890410959
4699.0,Canyon,Cross-country,0,Très Bon État,-0.1487550542668653,-699.0,0.3041095890410959
3299.0,Trek,VTT,1,Bon État,-0.4543801151864201,-1499.0,3.3068493150684932
1200.0,Scott,Cross-country,0,Usé,-0.29166666666666663,-350.0,2.304109589041096
